Id,Name,ShortName,Alias,IHSOperatorCode,OperatorTicker,CompanyType,CreatedBy,Created,ModifiedBy,Modified,RowVersion
1,ANADARKO E & P ONSHORE LLC,ANADARKO,ANADARKO,246216,APC,PUBLIC,NULL,NULL,13,2018-05-17 20:28:20.5921156 +00:00,0x00000000000F791E
2,BP AMERICA PRODUCTION COMPANY,BP,BP,210133,BP,PUBLIC,NULL,NULL,13,2018-05-17 22:46:10.7690343 +00:00,0x00000000000F7B6A
3,STATOIL OIL & GAS LP,STATOIL,STATOIL,249324,NULL,PRIVATE,NULL,NULL,13,2018-05-17 21:03:27.1936161 +00:00,0x00000000000F796A
4,UNKNOWN,UNKNOWN,UNKNOWN,034633,NULL,UNKNOWN,NULL,NULL,13,2018-05-18 16:45:43.0310345 +00:00,0x00000000000F7D5E
5,NEWFIELD PRODUCTION COMPANY,NEWFIELD,NEWFIELD,216193,NFX,PUBLIC,NULL,NULL,13,2018-05-18 15:01:04.3632255 +00:00,0x00000000000F7D08
6,NOBLE ENERGY INCORPORATED,NOBLE,NOBLE,084659,NBL,PUBLIC,NULL,NULL,13,2018-05-18 15:01:36.3164115 +00:00,0x00000000000F7D09
7,APACHE CORPORATION,APACHE,APACHE,001305,APA,PUBLIC,NULL,NULL,13,2018-05-17 20:29:02.9288985 +00:00,0x00000000000F791F
9,BARRETT BILL CORPORATION,BILL BARRETT,HIGHPOINT,002464,HPR,PUBLIC,NULL,NULL,13,2018-05-17 21:23:22.3261738 +00:00,0x00000000000F7A10
10,BONANZA CREEK ENERGY OPERATING CO LLC,BONANZA CREEK,BONANZA CREEK,226653,BCEI,PUBLIC,NULL,NULL,13,2018-05-17 21:24:01.4868164 +00:00,0x00000000000F7A11
11,CHESAPEAKE OPERATING INCORPORATED,CHESAPEAKE,CHESAPEAKE,006365,CHK,PUBLIC,NULL,NULL,13,2018-05-17 21:21:06.1154662 +00:00,0x00000000000F79E9
12,CIMAREX,CIMAREX,CIMAREX,221190,NULL,DUPLICATE,NULL,NULL,13,2018-05-18 14:54:25.1262984 +00:00,0x00000000000F7CEE
14,CONTINENTAL RESOURCES INCORPORATED,CONTINENTAL,CONTINENTAL,099814,CLR,PUBLIC,NULL,NULL,13,2018-05-17 21:17:36.3076318 +00:00,0x00000000000F79DA
15,CRESTONE PEAK RESOURCES OPERATING LLC,CRESTONE PEAK,CRESTONE PEAK,271227,NULL,PRIVATE,NULL,NULL,13,2018-05-17 21:16:46.6541893 +00:00,0x00000000000F79D5
16,CUB CREEK ENERGY,CUB CREEK,CUB CREEK,266846,NULL,PRIVATE,NULL,NULL,13,2018-05-17 21:16:09.9131382 +00:00,0x00000000000F79CF
17,DEVON ENERGY PRODUCTION COMPANY L P,DEVON,DEVON,195455,DVN,PUBLIC,NULL,NULL,13,2018-05-17 21:15:31.1507764 +00:00,0x00000000000F79CE
18,ENCANA OIL & GAS (USA) INCORPORATED,ENCANA,ENCANA,211663,ECA,PUBLIC,NULL,NULL,13,2018-05-17 21:12:52.0853990 +00:00,0x00000000000F79BB
19,EOG RESOURCES INCORPORATED,EOG,EOG,194766,EOG,PUBLIC,NULL,NULL,13,2018-05-18 00:06:42.1007205 +00:00,0x00000000000F7BC6
20,EXTRACTION OIL & GAS LLC,EXTRACTION,EXTRACTION,254913,XOG,PUBLIC,NULL,NULL,13,2018-05-18 00:07:13.4948006 +00:00,0x00000000000F7BC7
